,parameter,deployments,count,mean,std,min,25%,50%,75%,max
127,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",224731.000000,  33.953790,   0.051731,  33.335592,  33.931058,  33.959494,  33.985426,  34.048834
128,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",224533.000000,  33.960893,   0.048400,  32.196282,  33.938441,  33.965170,  33.989842,  34.089959
129,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",224030.000000,  33.967568,   0.045294,  33.420682,  33.945672,  33.970672,  33.994043,  34.127928
130,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223900.000000,  33.973726,   0.043559,  33.235107,  33.952686,  33.975880,  33.998370,  34.128210
131,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223861.000000,  33.979594,   0.040993,  33.094488,  33.959258,  33.980888,  34.002953,  34.122018
132,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223742.000000,  33.985150,   0.039462,  33.574765,  33.965534,  33.985565,  34.007485,  34.074446
133,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223459.000000,  33.990616,   0.038159,  33.191079,  33.971374,  33.990553,  34.011698,  34.081402
134,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223011.000000,  33.995754,   0.037347,  33.577591,  33.976464,  33.995681,  34.015924,  34.088525
135,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",223034.000000,  34.000631,   0.036912,  32.709030,  33.981491,  34.000098,  34.020447,  34.093504
136,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222742.000000,  34.005452,   0.036473,  33.481811,  33.986225,  34.004707,  34.024954,  34.101583
137,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222742.000000,  34.010238,   0.036318,  33.600332,  33.991272,  34.009349,  34.029701,  34.109136
138,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222579.000000,  34.015210,   0.036261,  33.504726,  33.996493,  34.014197,  34.034790,  34.115827
139,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222260.000000,  34.020107,   0.036367,  33.607437,  34.001267,  34.019179,  34.039688,  34.120180
140,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222063.000000,  34.024938,   0.036597,  33.507043,  34.005902,  34.024074,  34.044670,  34.122541
141,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",222302.000000,  34.029773,   0.036847,  33.616880,  34.010915,  34.029361,  34.049704,  34.128695
142,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221475.000000,  34.034924,   0.037255,  33.621345,  34.016396,  34.034625,  34.054865,  34.136727
143,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221756.000000,  34.039999,   0.037566,  33.623193,  34.021395,  34.039800,  34.060290,  34.143643
144,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220615.000000,  34.045462,   0.037715,  33.625788,  34.026990,  34.045314,  34.065796,  34.151440
145,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220512.000000,  34.050979,   0.037718,  33.629597,  34.032183,  34.050567,  34.071535,  34.158240
146,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220412.000000,  34.056688,   0.037856,  33.629768,  34.037557,  34.056370,  34.077196,  34.164219
147,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",220043.000000,  34.062518,   0.038024,  33.640112,  34.043094,  34.061754,  34.083381,  34.174005
148,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",219669.000000,  34.068286,   0.038260,  33.346443,  34.048752,  34.067589,  34.089457,  34.176889
149,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",219673.000000,  34.074094,   0.038437,  33.647190,  34.054297,  34.073403,  34.095228,  34.187249
150,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",221981.000000,  34.079766,   0.038564,  33.650914,  34.059893,  34.078803,  34.100900,  34.187929
151,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",227614.000000,  34.085844,   0.038868,  33.654897,  34.065577,  34.084457,  34.108066,  34.197250
152,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",234013.000000,  34.091311,   0.039078,  33.658295,  34.070390,  34.089744,  34.114359,  34.208770
153,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",585189.000000,  34.108365,   0.040387,  33.661912,  34.083660,  34.106834,  34.133549,  34.211837
154,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9",379269.000000,  34.093585,   0.035357,  33.555081,  34.076909,  34.094103,  34.114001,  34.179515
155,practical_salinity,"1, 2, 3, 4, 5, 6, 7, 8, 9", 825.000000,  34.081473,   0.004586,  34.069776,  34.082824,  34.083289,  34.083850,  34.087335
156,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",   0.000000,,,,,,,
157,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",81697.000000,  11.247426,   1.150576,   8.936400,  10.514800,  10.960100,  11.597100,  16.080200
158,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",900919.000000,  10.435080,   1.155470,   8.190400,   9.566800,  10.296300,  11.126400,  15.983500
159,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",361777.000000,  10.036626,   0.970737,   8.127500,   9.248900,   9.871200,  10.705100,  14.610000
160,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",315577.000000,   9.696992,   0.902021,   7.887500,   8.962000,   9.552100,  10.287900,  13.516300
161,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",290533.000000,   9.467576,   0.857303,   7.479300,   8.776400,   9.342800,  10.006700,  13.073200
162,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",277550.000000,   9.248134,   0.814546,   7.330400,   8.631100,   9.148400,   9.720500,  12.853500
163,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",274514.000000,   9.021944,   0.760538,   7.242600,   8.475600,   8.912800,   9.411000,  12.607300
164,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",273395.000000,   8.817266,   0.700092,   7.262100,   8.303000,   8.732600,   9.160400,  11.867200
165,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",271806.000000,   8.630703,   0.639546,   7.263800,   8.144000,   8.581900,   8.974000,  11.790500
166,ctdpf_ckl_seawater_temperature,"1, 2, 3, 4, 5, 6, 7, 8, 9",270469.000000,   8.464738,   0.582949,   7.206200,   8.026000,   8.431300,   8.796400,  11.059900
